X [ns],Y [ns],Z [ns]
76.69,11.67,-108.36
49.29,-123.87,-67.42
96.46,-248.46,-136.94
156.49,-407.06,-225.51
228.83,-597.84,-331.98
311.96,-817.22,-454.39
405.7,-1064.49,-592.36
509.53,-1338.54,-745.23
623.12,-1638.19,-912.51
